Fault_Type,Fault_Location,Severity_Level,Module_Age_Years,Rectification_Action,Previous_Rectification_Action,Irradiance,Weather_Condition,Timestamp
Open Circuit,String-4_Module-8,Low,7,Tighten Connection,Tighten Connection,679,Rainy,2023-02-17 15:00:00
Open Circuit,String-1_Module-1,Low,4,Tighten Connection,Tighten Connection,772,Rainy,2023-02-01 23:00:00
Short Circuit,String-1_Module-18,Medium,13,Replace Fuse,Inspection Done,657,Rainy,2023-03-09 20:00:00
Shadowing,String-5_Module-1,Medium,11,Remove Obstruction,Inspection Done,650,Cloudy,2023-02-24 11:00:00
Shadowing,String-4_Module-11,High,8,Adjust Tilt,No Action,564,Cloudy,2023-02-04 21:00:00
Open Circuit,String-6_Module-20,Critical,13,Replace Module,Replace Module,874,Sunny,2023-04-01 06:00:00
Open Circuit,String-7_Module-3,Critical,5,Replace Module,No Action,550,Rainy,2023-07-08 10:00:00
Hotspot,String-2_Module-2,High,7,Replace Panel Section,No Action,854,Rainy,2023-03-19 18:00:00
Hotspot,String-7_Module-9,Low,10,Clean Panel,No Action,599,Sunny,2023-06-04 18:00:00
Hotspot,String-4_Module-9,Medium,3,Inspect Cells,Inspect Cells,452,Cloudy,2023-01-25 08:00:00
Short Circuit,String-7_Module-9,Medium,7,Replace Fuse,Replace Fuse,980,Sunny,2023-07-10 02:00:00
Short Circuit,String-1_Module-11,High,11,Replace Wiring,No Action,658,Sunny,2023-05-17 22:00:00
Hotspot,String-6_Module-7,Low,11,Clean Panel,Inspection Done,898,Sunny,2023-06-20 09:00:00
Shadowing,String-3_Module-8,Critical,8,Reinstall Module,Reinstall Module,698,Sunny,2023-07-11 14:00:00
Hotspot,String-6_Module-8,Critical,5,Replace Module,Replace Module,707,Rainy,2023-02-17 05:00:00
Shadowing,String-3_Module-6,Low,4,Clean Panel,No Action,503,Sunny,2023-05-25 02:00:00
Open Circuit,String-8_Module-17,Critical,8,Replace Module,Inspection Done,700,Cloudy,2023-03-27 19:00:00
Open Circuit,String-5_Module-11,Low,8,Tighten Connection,Inspection Done,797,Rainy,2023-02-08 01:00:00
Hotspot,String-1_Module-9,Critical,3,Replace Module,Replace Module,365,Sunny,2023-06-20 20:00:00
Short Circuit,String-9_Module-20,Low,6,Inspect Junction Box,Inspect Junction Box,614,Rainy,2023-03-09 21:00:00
Short Circuit,String-9_Module-1,High,5,Replace Wiring,Inspection Done,661,Sunny,2023-07-24 10:00:00
Hotspot,String-6_Module-10,Critical,2,Replace Module,No Action,313,Sunny,2023-03-23 17:00:00
Open Circuit,String-2_Module-16,Medium,8,Replace Connector,No Action,632,Rainy,2023-01-24 14:00:00
Short Circuit,String-9_Module-6,Medium,12,Replace Fuse,Replace Fuse,555,Rainy,2023-04-01 11:00:00
Shadowing,String-4_Module-10,Medium,14,Remove Obstruction,Inspection Done,894,Rainy,2023-05-17 04:00:00
Hotspot,String-2_Module-8,Critical,6,Replace Module,Replace Module,406,Rainy,2023-03-18 16:00:00
Open Circuit,String-9_Module-8,High,2,Replace Wiring,Inspection Done,967,Sunny,2023-07-20 20:00:00
Short Circuit,String-1_Module-8,Low,12,Inspect Junction Box,Inspection Done,434,Sunny,2023-01-24 00:00:00
Open Circuit,String-4_Module-9,High,5,Replace Wiring,Inspection Done,641,Sunny,2023-06-15 16:00:00
Short Circuit,String-10_Module-16,Medium,1,Replace Fuse,Inspection Done,554,Rainy,2023-03-24 22:00:00
Shadowing,String-2_Module-14,Critical,12,Reinstall Module,No Action,714,Sunny,2023-05-01 22:00:00
Shadowing,String-1_Module-4,Critical,10,Reinstall Module,Inspection Done,407,Cloudy,2023-01-21 16:00:00
Shadowing,String-4_Module-7,High,6,Adjust Tilt,No Action,908,Sunny,2023-07-03 01:00:00
Shadowing,String-5_Module-15,Medium,13,Remove Obstruction,No Action,324,Cloudy,2023-03-27 06:00:00
Open Circuit,String-1_Module-18,Critical,12,Replace Module,No Action,337,Rainy,2023-01-06 00:00:00
Open Circuit,String-8_Module-16,Medium,9,Replace Connector,Replace Connector,538,Sunny,2023-03-14 23:00:00
Shadowing,String-1_Module-13,Low,1,Clean Panel,Clean Panel,736,Sunny,2023-04-01 12:00:00
Shadowing,String-9_Module-16,High,11,Adjust Tilt,Inspection Done,267,Cloudy,2023-02-22 20:00:00
Short Circuit,String-10_Module-18,High,11,Replace Wiring,No Action,772,Sunny,2023-01-21 19:00:00
Hotspot,String-8_Module-17,Low,10,Clean Panel,Inspection Done,740,Sunny,2023-07-01 06:00:00
Short Circuit,String-3_Module-3,Low,12,Inspect Junction Box,No Action,582,Rainy,2023-07-23 02:00:00
Open Circuit,String-10_Module-8,Medium,12,Replace Connector,No Action,218,Cloudy,2023-07-17 14:00:00
